OBSERVATION DATE,OBSERVER ID
1/1/2010,obsr225201
1/1/2010,obsr245381
1/1/2010,obsr301552
1/1/2010,obsr226525
1/1/2010,obsr444257
1/1/2010,obsr225190
1/1/2010,obsr211623
1/1/2010,obsr139853
1/1/2010,obsr55873
1/1/2010,obsr216769
1/1/2010,obsr26549
1/1/2010,obsr16990
1/1/2010,obsr215071
1/1/2010,obsr108306
1/1/2010,obsr18909
1/1/2010,obsr149874
1/1/2010,obsr409632
1/1/2010,obsr239617
1/1/2010,obsr230380
1/1/2010,obsr28878
1/1/2010,obsr88692
1/1/2010,obsr216651
1/1/2010,obsr204676
1/1/2010,obsr174679
1/1/2010,obsr209163
1/1/2010,obsr531374
1/1/2010,obsr213652
1/1/2010,obsr138186
1/1/2010,obsr217356
1/1/2010,obsr185359
1/1/2010,obsr645368
1/1/2010,obsr191285
1/1/2010,obsr219808
1/1/2010,obsr654003
1/1/2010,obsr128410
1/1/2010,obsr183610
1/1/2010,obsr171139
1/1/2010,obsr203893
1/1/2010,obsr25168
1/1/2010,obsr162100
1/1/2010,obsr243525
1/1/2010,obsr53321
1/1/2010,obsr222478
1/1/2010,obsr650501
1/1/2010,obsr232582
1/1/2010,obsr215080
1/1/2010,obsr289757
1/1/2010,obsr163807
1/1/2010,obsr157449
1/1/2010,obsr108509
1/1/2010,obsr186409
1/1/2010,obsr438140
1/1/2010,obsr86047
1/1/2010,obsr263087
1/1/2010,obsr172439
1/1/2010,obsr278370
1/1/2010,obsr205991
1/1/2010,obsr645507
1/1/2010,obsr172262
1/1/2010,obsr220920
1/1/2010,obsr127114
1/1/2010,obsr26929
1/1/2010,obsr98546
1/1/2010,obsr228311
1/1/2010,obsr661650
1/1/2010,obsr182452
1/1/2010,obsr203437
1/1/2010,obsr303964
1/1/2010,obsr208310
1/1/2010,obsr208092
1/1/2010,obsr335656
1/1/2010,obsr908648
1/1/2010,obsr169200
1/1/2010,obsr210667
1/1/2010,obsr186499
1/1/2010,obsr1067195
1/1/2010,obsr176283
1/1/2010,obsr207897
1/1/2010,obsr202643
1/1/2010,obsr118523
1/1/2010,obsr305854
1/1/2010,obsr16674
1/1/2010,obsr99757
1/1/2010,obsr228603
1/1/2010,obsr220260
1/1/2010,obsr210962
1/1/2010,obsr132003
